City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,guerrero negro,27.9769,-114.0611,65.8,71,83,12.93,MX,1732663894
323,port douglas,-16.4833,145.4667,82.26,66,53,6.64,AU,1732663894
324,castro,-24.7911,-50.0119,70.07,65,59,4.27,BR,1732663894
325,prymors'k,46.7348,36.3443,37.99,85,100,5.46,UA,1732663894
326,seven pagodas,12.6264,80.1722,77.36,83,100,20.92,IN,1732663895
327,minas de marcona,-15.2119,-75.1103,58.82,79,25,12.71,PE,1732663895
328,al muwayh,22.4333,41.7583,68.34,69,1,6.08,SA,1732663895
329,bengkulu,-3.8004,102.2655,77.0,83,100,9.31,ID,1732663806
330,argenta,44.6124,11.8356,45.91,92,100,3.13,IT,1732663793
331,kill devil hills,36.0307,-75.676,59.99,97,75,0.0,US,1732663895
332,vilyuchinsk,52.9306,158.4028,41.27,73,62,9.53,RU,1732663955
333,palmer,42.1584,-72.3287,39.15,96,20,0.0,US,1732663955
334,weno,7.4515,151.8468,85.95,79,100,5.75,FM,1732663955
335,north liberty,41.7492,-91.598,36.77,61,40,5.75,US,1732663955
336,norilsk,69.3535,88.2027,29.32,90,100,20.36,RU,1732663955
337,genhe,50.7833,121.5167,13.53,88,100,9.06,CN,1732663955
338,woodland park,40.8898,-74.1949,53.98,57,0,8.05,US,1732663956
339,hastings,50.8552,0.5729,49.78,63,100,10.78,GB,1732663760
340,uturoa,-16.7333,-151.4333,80.69,78,82,12.21,PF,1732663956
341,kavaratti,10.5669,72.642,82.4,67,100,10.92,IN,1732663956
342,kralendijk,12.15,-68.2667,84.18,74,20,12.66,BQ,1732663956
343,new norfolk,-42.7826,147.0587,67.91,83,100,2.08,AU,1732663956
344,kakching,24.4833,93.9833,51.19,97,73,0.78,IN,1732663956
345,happy valley-goose bay,53.3168,-60.3315,32.31,93,100,2.3,CA,1732663690
346,luanda,-8.8368,13.2343,78.8,83,75,5.75,AO,1732663956
347,cacapava do sul,-30.5122,-53.4914,68.85,93,100,0.6,BR,1732663956
348,vuktyl,63.8567,57.3094,34.83,92,100,15.95,RU,1732663956
349,sao vicente,-23.9631,-46.3919,78.94,26,25,5.99,BR,1732663957
350,winschoten,53.1442,7.0347,40.98,97,2,6.87,NL,1732663802
351,howrah,22.5892,88.3103,66.2,77,64,0.0,IN,1732663881
352,arkhangel'sk,64.5401,40.5433,39.31,100,100,11.18,RU,1732663957
353,singaraja,-8.112,115.0882,83.8,77,100,0.89,ID,1732663957
354,mandera,3.9366,41.867,84.7,53,54,7.87,KE,1732663957
355,gamba,-2.65,10.0,74.86,91,100,4.12,GA,1732663957
356,mitu,1.1983,-70.1733,72.64,90,93,1.81,CO,1732663680
357,maddagiri,13.6606,77.2092,65.93,89,100,6.11,IN,1732663957
358,east london,-33.0153,27.9116,63.39,87,100,15.43,ZA,1732663794
359,mtambile,-5.3833,39.7,77.47,77,56,2.95,TZ,1732663957
360,mammoth lakes,37.6485,-118.9721,32.81,64,100,7.49,US,1732663957
361,viedma,-40.8135,-62.9967,62.37,22,2,7.34,AR,1732663958
362,bandarbeyla,9.4942,50.8122,79.0,77,35,16.91,SO,1732663958
363,vila franca do campo,37.7167,-25.4333,68.41,99,40,18.84,PT,1732663958
364,tidjikja,18.5564,-11.4271,73.0,14,46,11.7,MR,1732663958
365,tuzlukcu,38.4778,31.6264,23.38,93,79,3.33,TR,1732663958
366,mount pearl,47.5166,-52.7813,40.96,97,100,12.66,CA,1732663924
367,carahue,-38.7,-73.1667,48.47,88,17,3.36,CL,1732663958
368,rongelap,11.1635,166.8941,83.07,80,99,18.86,MH,1732663958
369,le blanc,46.6667,1.1667,47.8,94,90,7.49,FR,1732663958
370,rio branco,-9.9747,-67.81,83.01,83,40,3.44,BR,1732663715
371,waiuku,-37.25,174.75,67.66,61,49,9.42,NZ,1732663958
372,aldama,22.9167,-98.0667,69.33,75,4,5.95,MX,1732663959
373,rikaze,29.25,88.8833,24.71,67,0,4.12,CN,1732663959
374,shimoda,34.6667,138.95,64.06,84,58,17.2,JP,1732663959
375,samdrup jongkhar,26.9167,91.6167,47.64,60,15,5.68,BT,1732663959
376,beau vallon,-20.4189,57.6953,73.63,88,75,17.27,MU,1732663959
377,ca mau,9.1769,105.15,77.02,88,100,5.64,VN,1732663959
378,loango,-4.6719,11.8312,75.99,90,100,3.74,CG,1732663959
379,labytnangi,66.6572,66.4183,34.29,99,100,20.15,RU,1732663959
380,michigan city,41.7075,-86.895,36.1,63,0,9.22,US,1732663959
381,kirakira,-10.4544,161.9205,82.51,81,100,7.0,SB,1732664019
382,manta,-0.95,-80.7333,76.78,78,40,5.75,EC,1732664019
383,mount gambier,-37.8333,140.7667,66.13,58,88,10.27,AU,1732664020
384,amos,48.5669,-78.1162,30.2,97,100,7.49,CA,1732664020
385,sechura,-5.5569,-80.8222,69.44,71,9,16.89,PE,1732664020
386,mirnyy,62.5353,113.9611,5.83,94,99,10.25,RU,1732663876
387,tomelloso,39.1522,-3.0243,46.36,73,91,4.61,ES,1732664020
388,canar,-2.55,-78.9333,50.38,95,92,1.3,EC,1732664020
389,constitucion,-35.3333,-72.4167,54.55,79,4,13.56,CL,1732664020
390,cockburn town,21.4612,-71.1419,80.31,82,100,20.6,TC,1732664020
391,arteche,12.2645,125.4048,80.89,86,29,9.89,PH,1732664020
392,yorkton,51.2167,-102.4677,-5.96,84,100,2.3,CA,1732663802
393,cabedelo,-6.9811,-34.8339,79.47,77,82,9.48,BR,1732664021
394,ikryanoye,46.0932,47.7308,37.38,81,100,9.91,RU,1732664021
395,aguilares,-27.4338,-65.6143,76.62,81,78,4.63,AR,1732663981
396,ariquemes,-9.9133,-63.0408,76.95,88,92,2.37,BR,1732664021
397,ust'-ordynskiy,52.805,104.7508,14.2,96,80,4.27,RU,1732664021
398,longyearbyen,78.2186,15.6401,13.84,85,100,26.46,SJ,1732663850
399,bu'aale,1.0833,42.5833,76.32,87,84,4.63,SO,1732664021
400,kupang,-10.1667,123.5833,86.58,84,20,4.61,ID,1732664020
401,beloyarskiy,63.7119,66.6722,36.48,81,97,16.22,RU,1732664021
402,tubarjal,30.4999,38.216,44.8,60,3,8.43,SA,1732664021
403,colonia,50.9333,6.95,45.95,85,75,8.05,DE,1732664022
404,caluula,11.9661,50.7569,79.7,70,32,10.45,SO,1732664022
405,byron bay,-28.65,153.6167,78.31,74,43,12.37,AU,1732664022
406,bridgewater,44.3835,-64.5155,43.11,89,100,6.91,CA,1732664022
407,qinnan,33.2531,119.9133,40.24,49,0,15.48,CN,1732664022
408,lazaro cardenas,17.9583,-102.2,80.04,71,0,6.62,MX,1732664022
409,manaure,11.7751,-72.4445,84.34,70,76,4.25,CO,1732664022
410,hobyo,5.3505,48.5268,80.01,82,25,12.39,SO,1732664022
411,muisne,0.6,-80.0333,74.05,81,79,10.33,EC,1732664022
412,las trojes,14.0667,-85.9833,68.13,93,84,2.82,HN,1732664022
413,ta`u,-14.2336,-169.5144,81.9,80,26,16.26,AS,1732664022
414,tetiiv,49.3767,29.6647,23.58,83,13,4.92,UA,1732664023
415,chernyshevskiy,63.0128,112.4714,8.44,94,100,9.31,RU,1732664023
416,kigoma,-4.8769,29.6267,66.79,100,75,2.3,TZ,1732664023
417,bartica,6.4,-58.6167,75.34,91,20,2.24,GY,1732664023
418,pago pago,-14.2781,-170.7025,85.19,79,75,13.8,AS,1732664023
419,general conesa,-40.1,-64.4333,72.25,11,0,8.48,AR,1732664023
420,richards bay,-28.783,32.0377,72.79,93,62,5.08,ZA,1732664023
421,okhotsk,59.3833,143.3,3.6,75,20,7.16,RU,1732664023
422,brisas de zicatela,15.8369,-97.0419,82.92,78,20,0.0,MX,1732664023
423,zheleznogorsk-ilimskiy,56.5768,104.1217,13.69,96,100,6.91,RU,1732664023
424,opuwo,-18.0607,13.84,66.31,35,2,6.42,NA,1732664023
425,lagonoy,13.7342,123.5207,80.96,83,70,3.38,PH,1732664024
426,rusape,-18.5278,32.1284,64.56,91,97,7.36,ZW,1732664024
427,oriximina,-1.7656,-55.8661,76.39,88,95,4.29,BR,1732664024
428,posto fiscal rolim de moura,-13.0833,-62.2667,74.41,95,82,2.48,BR,1732664024
429,jinchang,38.4953,102.1739,25.0,41,0,6.29,CN,1732664024
430,adrar,20.5022,-10.0711,70.72,21,66,10.33,MR,1732664084
431,santiago,-33.4569,-70.6483,71.42,40,0,19.57,CL,1732664062
432,tahoua,14.8888,5.2692,68.18,25,60,10.92,NE,1732664011
433,lebu,-37.6167,-73.65,53.51,75,3,6.24,CL,1732664084
434,athni,16.7333,75.0667,63.99,51,96,9.04,IN,1732664084
435,agat village,13.3886,144.6585,85.75,80,40,18.41,GU,1732664084
436,hirara,24.8,125.2833,69.66,73,40,21.85,JP,1732664085
437,nemuro,43.3236,145.575,47.21,93,100,35.03,JP,1732664085
438,baissa,7.2333,10.6333,70.39,39,1,1.74,NG,1732664085
439,portland,45.5234,-122.6762,47.08,92,100,5.01,US,1732664050
440,pathein,16.7833,94.7333,69.71,74,93,7.0,MM,1732664085
441,kingston,17.997,-76.7936,76.15,94,100,8.05,JM,1732663876
442,galliano,29.4422,-90.2992,66.2,88,100,4.61,US,1732664085
443,narayanganj,23.6233,90.5011,66.22,73,88,4.61,BD,1732664085
444,paulden,34.8856,-112.4682,62.78,44,100,8.01,US,1732664085
445,twon-brass,4.3151,6.2418,80.47,79,69,8.43,NG,1732664085
446,lamin,13.3522,-16.4339,73.51,68,0,6.13,GM,1732664085
447,salto,-31.3833,-57.9667,75.87,86,62,4.0,UY,1732663917
448,santa cruz,-17.8,-63.1667,82.45,74,100,11.5,BO,1732664086
449,waingapu,-9.6567,120.2641,85.03,68,76,4.88,ID,1732664086
450,ketchikan,55.3422,-131.6461,37.38,93,100,4.61,US,1732664086
451,kokstad,-30.5472,29.4241,62.02,90,99,2.15,ZA,1732664086
452,qusmuryn,52.4503,64.6311,11.79,93,15,4.23,KZ,1732664086
453,port saint john's,-31.6229,29.5448,69.4,94,95,10.87,ZA,1732664053
454,taro,-8.3862,115.28,76.93,80,100,0.49,ID,1732664086
455,touros,-5.1989,-35.4608,77.72,75,10,12.15,BR,1732664086
456,al bayda,32.7627,21.7551,51.57,73,58,8.52,LY,1732664086
457,tra mhor,52.1624,-7.1524,41.74,93,100,5.99,IE,1732664087
458,manokwari,-0.8667,134.0833,83.53,69,73,4.0,ID,1732664087
459,nizhnyaya tavda,57.6731,66.1725,23.56,86,5,6.35,RU,1732664087
460,okahandja,-21.9833,16.9167,67.46,35,3,7.61,NA,1732664087
461,mil'kovo,55.6078,37.7956,22.51,61,5,4.54,RU,1732664087
462,erdenet,49.0333,104.0833,10.0,79,75,4.27,MN,1732664087
463,pocone,-16.2567,-56.6228,78.51,81,88,6.44,BR,1732664087
464,lodja,-3.4833,23.4333,67.68,100,100,1.25,CD,1732664087
465,rawson,-43.3002,-65.1023,61.09,63,0,6.91,AR,1732664087
466,smithers,54.7804,-127.1743,16.12,73,40,3.44,CA,1732664087
